,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25,L26,L27,L28,L29,L30,L31,L32,L33,L34,L35,L36,L37,L38,L39,L40,species,chn
ASV_90,470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,792,0,0,0,0,0,0,0,0,0,0,0,0,0,Anguilla rostrata,ÃÀÖÞ÷©öâ
ASV_51,0,574,0,0,0,4,0,13,0,0,0,0,32,104,0,0,7,0,0,23,75,112,0,0,0,0,0,0,0,7,0,0,5,0,0,3505,3,0,0,0,Channa striata,Ïß÷¯
ASV_45,89,692,2893,107,1,360,3,12,2,649,258,0,10,237,1198,552,606,26,280,27,0,185,0,154,8,113,38,58,10,25,75,6,371,15,0,0,93,510,1,0,Cirrhinus mrigala,¾íÐëöì
ASV_17,142,334,489,5,1,9,1936,3448,6,42,7,4286,340,1188,7,72,18,12,94,13345,1760,460,14,29,17,12,22,77,56,29,14,29,19,12,6,27,583,7,3,33,Clarias gariepinus,¸ïºú×Óöó
ASV_2,67,25921,29045,662,13,72,147,777,37,250,90,65161,4754,2333,104,673,1017,218,241,63400,1411,2320,727,1507,137,64,192,5377,1267,161,133,790,185,7448,2323,1203,199,16732,18,228,Coptodon zillii,ÆëÊÏÂÞ·ÇÓã
ASV_25,2,548,1195,231,282,126,5,120,3,15,0,2877,403,130,208,856,8,561,11,1041,970,286,67,34,7,2,8,428,149,10,80,125,97,553,7,9,5,11,2,9,Gambusia affinis,Ê³ÎÃÓã
ASV_78,0,0,121,0,266,0,0,133,0,0,0,315,0,0,4,0,0,0,0,0,0,306,0,447,0,137,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Micropterus salmoides,´ó¿ÚºÚöÔ
ASV_85,0,0,0,0,0,6,0,0,1,0,254,0,0,0,10,0,9,1976,0,0,6,0,0,0,0,0,0,0,0,0,0,131,0,10,0,0,0,0,0,0,Prochilodus lineatus,ÌõÎÆöìÖ¬Àð
ASV_6,55,36775,25902,376,13,74,980,9385,14,135,1953,20357,13030,8737,94,170,2165,158,102,7835,5847,8453,28,886,57,33,83,184,1798,389,52,118,649,234,24,97,566,73,15,112,Oreochromis aureus,°ÂÀïÑÇÂÞ·ÇÓã
ASV_1,1411,20625,40134,1236,1225,3699,11909,70596,293,1111,11111,113611,41598,32267,7254,4094,24158,2312,2193,49371,27322,43495,1627,8996,748,113,1702,7208,13333,2665,1001,1314,8095,34655,345,4012,3901,2455,284,616,Oreochromis niloticus,ÄáÂÞÂÞ·ÇÓã
ASV_7,18,11239,26843,412,8,679,29,7156,4,2129,1200,2638,3002,2580,445,450,3636,51,34,1134,4397,4999,11,36,32,6,48,86,87,63,38,48,739,40,8,30,684,23,3,55,Pterygoplichthys pardalis,±ªÎÆÒí¼×öó
