,Control,L16,L20,L36,L9,L32,L33,L31,L26,L30,L2,L12,L40,L29,L34,L21,L19,L4,L1,L18,L3,L27,L8,L25,L28,L11,L7,L17,L14,L38,L23,L10,L15,L22,L24,L6,L13,L37,L35,L5,L39,taxonomy,chn,location
ASV_29,0,22,28,88,5,9,6,21,10,226,11274,27,2,14,7,36,11,782,4,21,71,15,885,7,8,39,25,11,26,15,7,24,13,482,103,13,24,7,2,20,5,Metazoa; Chordata; Actinopteri; Anabantiformes; Anabantidae; Anabas; Anabas testudineus,攀鲈,
ASV_192,0,0,0,0,0,0,0,0,35,0,0,227,0,0,24,0,0,435,0,0,36,73,0,0,0,7,55,0,0,0,0,0,0,0,0,0,78,0,0,0,45,Metazoa; Chordata; Actinopteri; Anabantiformes; Channidae; Channa; Channa argus,乌鳢,
ASV_91,0,0,2386,0,0,2,0,0,0,6,0,0,0,0,0,58,0,0,0,0,0,0,0,0,6,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,Metazoa; Chordata; Actinopteri; Anabantiformes; Channidae; Channa; Channa gachua,宽额鳢,
ASV_73,1,0,0,3,0,2,6,0,5,81,3310,0,2,0,2,16,7,0,0,7,21,4,238,320,36,8,24,0,0,19,552,0,0,0,28,5,25,0,1,28,0,Metazoa; Chordata; Actinopteri; Anabantiformes; Channidae; Channa; Channa striata,线鳢,invasive
ASV_48,2,12,1018,0,651,3,0,9,6,9,516,0,0,0,0,0,4,344,0,7,133,5,195,3,0,868,98,0,15,0,0,3507,5,0,7,10,12,0,1,14,46,Metazoa; Chordata; Actinopteri; Anabantiformes; Channidae; Channa; NA,鳢属,
ASV_215,1,0,589,0,0,0,0,0,132,0,0,128,0,0,0,0,0,0,0,218,159,0,0,0,0,0,0,237,0,0,0,0,0,0,0,0,0,0,0,0,0,Metazoa; Chordata; Actinopteri; Anabantiformes; Osphronemidae; Macropodus; Macropodus chinensis,圆尾斗鱼,
ASV_180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,0,0,8,0,0,0,0,505,0,0,3,0,0,0,0,0,0,Metazoa; Chordata; Actinopteri; Anguilliformes; Anguillidae; Anguilla; Anguilla japonica,鳗鲡,
ASV_61,0,0,20,501,5,0,325,2950,3,0,11,15,140,7,4,12,5,0,4,17,168,338,14,7,14,10,10,0,1408,6,0,0,13,16,145,7,362,7,0,105,0,Metazoa; Chordata; Actinopteri; Beloniformes; Adrianichthyidae; Oryzias; Oryzias latipes,中华青鳉,
ASV_137,0,514,0,0,0,111,0,0,26,221,0,0,0,0,35,0,0,0,0,93,0,5,0,3,0,0,0,3,0,104,0,0,169,0,0,0,63,0,0,0,64,Metazoa; Chordata; Actinopteri; Beloniformes; Hemiramphidae; Hyporhamphus; Hyporhamphus intermedius,间下鱵,
ASV_163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,178,0,0,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Metazoa; Chordata; Actinopteri; Carangiformes; Carangidae; Trachinotus; Trachinotus ovatus,卵形鲳鯵,
ASV_112,0,0,0,0,20,0,0,0,0,0,0,0,0,0,2,0,0,0,0,164,0,0,57,0,0,0,8,0,0,0,0,0,912,0,0,6,12,0,0,0,0,Metazoa; Chordata; Actinopteri; Centrarchiformes; Centrarchidae; Lepomis; Lepomis macrochirus,蓝鳃太阳鱼,invasive
ASV_65,0,0,0,0,464,2,0,63,0,6,85,0,0,5,0,0,0,341,0,0,9,0,0,0,0,369,546,0,0,0,713,908,5,231,3,4,27,0,1,0,3,Metazoa; Chordata; Actinopteri; Centrarchiformes; Centrarchidae; Micropterus; Micropterus salmoides,大口黑鲈,invasive
ASV_109,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,556,96,0,0,25,0,630,0,0,0,0,0,0,0,0,0,Metazoa; Chordata; Actinopteri; Centrarchiformes; Sinipercidae; Siniperca; Siniperca obscura,暗鳜,
ASV_60,0,0,0,0,0,0,18,2703,2,84,0,0,4,0,2,0,0,0,2,0,0,0,0,930,0,0,0,0,16,0,0,0,8,0,0,0,0,2,0,0,0,Metazoa; Chordata; Actinopteri; Chaetodontiformes; Leiognathidae; Nuchequula; Nuchequula nuchalis,项斑项鲾,
ASV_17,4,217,15057,8,19,242,355,92,81,527,5607,2639,11,436,63,529,92,23,29,52,322,289,1133,1290,114,71,132,29,552,9324,373,70,286,565,25,1351,742,113,179,34,447,Metazoa; Chordata; Actinopteri; Cichliformes; Cichlidae; Coptodon; Coptodon zillii,齐氏罗非鱼,invasive
ASV_3,45,2379,28883,295,656,868,488,1896,552,1852,47756,93541,125,12549,930,57425,2272,3693,207,7635,19571,643,75232,3359,3979,7960,12698,9111,61792,2037,1706,5232,11727,92442,2751,6781,66024,1351,514,5396,620,Metazoa; Chordata; Actinopteri; Cichliformes; Cichlidae; Oreochromis; Oreochromis niloticus,尼罗罗非鱼,invasive
ASV_11,3,2442,65,24404,253,34,211,1283,93,36,60,71,7,30,214,79,1690,56,19,3824,50,47,55,38,32,44,83,465,309,1145,28,1016,1299,84,36,39,82,1021,4,44,13985,Metazoa; Chordata; Actinopteri; Clupeiformes; Clupeidae; Clupanodon; Clupanodon thrissa,花鰶,
ASV_64,0,0,0,0,0,112,7,9,5,0,0,0,2,0,0,0,8,200,3,1392,5,0,0,2136,0,8,0,0,0,0,0,0,396,0,0,0,0,0,2,0,0,Metazoa; Chordata; Actinopteri; Clupeiformes; Engraulidae; Coilia; Coilia grayii,七丝鲚,
ASV_68,0,11,1242,8,1294,7,231,759,702,6,304,268,736,1182,301,18,2261,389,1798,330,130,419,28,474,265,499,0,28,165,0,5,17,11,15,21,9,10,0,228,176,0,Metazoa; Chordata; Actinopteri; Clupeiformes; Engraulidae; Coilia; Coilia mystus,凤鲚,
ASV_351,0,30,0,0,708,0,0,195,27,0,0,0,0,0,0,0,4,0,0,0,7,272,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Metazoa; Chordata; Actinopteri; Cypriniformes; Acheilognathidae; Acheilognathus; Acheilognathus barbatus,须鱊,
ASV_125,0,26,0,0,648,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0,48,0,0,0,0,0,0,0,3,0,0,0,132,0,39,Metazoa; Chordata; Actinopteri; Cypriniformes; Acheilognathidae; Acheilognathus; Acheilognathus chankaensis,兴凯鱊,
