"OTUId","L1","L10","L11","L13","L14","L15","L16","L17","L18","L2","L23","L24","L25","L26","L27","L28","L29","L3","L30","L31","L32","L33","L34","L35","L36","L37","L38","L39","L4","L40","L5","L6","PM201阴性","PM201质粒","PM201mix样品","THERMO质粒","YESEN质粒","YESENmix样品","taxonomy"
"OTU_1",1532,3940,1776,1153,1328,1287,1314,2570,1810,1268,1672,1647,1496,1561,1266,1190,584,2172,1364,823,1100,1319,835,1086,684,1116,2428,1014,1156,1644,1501,1565,382,762,751,390,1659,2461,"Animalia; Arthropoda; Crustacea; Thoracica; Balanidae; Amphibalanus; Amphibalanus Amphitrite"
"OTU_10",27,27,18,13,29,28,26,15,13,18,16,14,35,37,17,34,21,33,30,91,19,21,24,35,44,40,26,27,19,74,21,16,1729,1580,1582,1334,1421,2796,"Metazoa; Chordata; Actinopteri; Semionotiformes; Lepisosteidae; Lepisosteus; Lepisosteus oculatus"
"OTU_100",0,2,0,2,6,0,4,0,2,16,2,0,0,0,0,0,0,18,2,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,54,0,0,34,"Metazoa; Chordata; Actinopteri; Cyprinodontiformes; Poeciliidae; Gambusia; Gambusia affinis"
"OTU_101",1,2,1,12,16,6,6,2,3,10,0,1,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,"Unknown"
"OTU_102",7,21,3,0,0,8,6,5,11,0,2,8,4,1,1,2,1,1,4,5,1,3,0,0,0,4,0,5,11,0,20,17,0,0,6,0,0,0,"Unknown"
"OTU_103",0,0,0,0,0,0,0,3,2,68,0,0,10,0,0,1,0,1,13,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,10,0,0,20,"Metazoa; Chordata; Actinopteri; Cypriniformes; Xenocyprididae; Hemiculter; Hemiculter leucisculus"
"OTU_104",0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,5,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,"Metazoa; Chordata; Actinopteri; Anabantiformes; Channidae; Channa; Channa striata"
"OTU_105",0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,7,11,2,2,38,15,0,0,0,0,0,0,0,0,0,1,"Metazoa; NA; NA; NA; NA; NA; NA"
"OTU_106",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,176,54,0,0,0,"Metazoa; Chordata; Actinopteri; Perciformes; Moronidae; Morone; Morone saxatilis"
"OTU_107",2,14,4,16,2,0,0,0,0,70,1,6,0,0,0,6,1,6,3,0,2,1,7,4,0,3,0,0,0,0,1,1,0,0,0,0,0,0,"Metazoa; Chordata; Actinopteri; NA; NA; NA; NA"
"OTU_108",0,62,2,0,4,4,0,0,0,0,0,2,0,0,0,6,0,16,0,2,0,0,2,4,0,0,0,0,2,0,0,0,0,0,10,0,0,2,"Metazoa; Chordata; Aves; Anseriformes; Anatidae; Cairina; Cairina moschata"
"OTU_109",3,5,2,22,30,6,1,4,3,0,0,4,2,1,0,0,0,3,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,"Metazoa; NA; NA; NA; NA; NA; NA"
"OTU_11",41,49,26,13,23,39,22,13,36,49,25,21,20,26,9,25,13,33,27,62,12,14,20,19,22,36,42,41,29,69,18,51,870,1774,1149,1750,620,2176,"Animalia; Chordata; Osteichthyes; Cypriniformes; Catostomidae; Ictiobus; Ictiobus cyprinellus"
"OTU_110",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,2,0,8,10,0,0,0,2,0,2,0,2,0,0,0,0,0,0,32,0,0,18,"Metazoa; Chordata; Actinopteri; Gobiiformes; Gobiidae; Glossogobius; Glossogobius giuris"
"OTU_111",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,113,60,0,0,0,"Metazoa; Chordata; Actinopteri; Siluriformes; Clariidae; Clarias; Clarias batrachus"
"OTU_112",0,6,1,4,6,1,3,0,0,15,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,2,"Unknown"
"OTU_113",2,15,1,0,2,5,4,5,2,0,0,0,0,0,1,4,0,2,0,3,4,0,3,1,1,2,0,1,3,0,0,0,0,0,0,0,0,0,"Unknown"
"OTU_114",0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,8,0,0,0,0,0,20,0,2,0,4,0,0,0,0,0,0,0,0,"Metazoa; Chordata; Actinopteri; Mugiliformes; Mugilidae; Chelon; NA"
"OTU_115",15,7,0,0,0,7,16,1,6,0,0,0,1,3,2,0,0,1,0,0,0,1,0,0,0,0,5,2,5,0,0,5,0,0,1,0,0,1,"Unknown"
"OTU_116",3,2,12,1,4,4,10,0,0,1,0,3,4,0,0,2,0,2,0,0,0,0,4,0,0,0,0,0,1,0,13,8,0,0,1,0,0,0,"Unknown"
"OTU_117",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0,32,0,0,18,"Metazoa; Chordata; Actinopteri; Perciformes; Ambassidae; Ambassis; Ambassis gymnocephalus"
"OTU_118",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,15,3,26,1,0,0,"Metazoa; Chordata; Actinopteri; Centrarchiformes; Centrarchidae; Micropterus; Micropterus salmoides"
"OTU_119",0,4,5,6,8,0,1,10,2,0,0,1,1,0,1,1,0,21,1,3,0,1,0,7,0,3,0,1,1,1,22,7,0,0,3,0,0,0,"Unknown"
"OTU_12",74,147,59,38,44,122,95,67,71,62,64,64,73,42,26,48,24,75,78,165,44,34,56,69,124,112,56,88,54,101,55,72,1044,1212,998,1143,2914,646,"Metazoa; Chordata; Actinopteri; Cypriniformes; Cyprinidae; Cirrhinus; Cirrhinus mrigala"
"OTU_120",3,7,6,4,4,16,1,7,12,1,1,0,3,0,5,1,1,1,2,0,0,3,0,0,0,4,0,2,1,0,2,1,0,0,0,0,0,1,"Metazoa; NA; NA; NA; NA; NA; NA"
"OTU_121",15,21,6,18,7,17,3,7,12,1,5,5,4,5,3,2,1,14,5,2,1,4,2,2,4,3,33,7,3,8,11,11,2,26,5,65,125,34,"Metazoa; Chordata; Actinopteri; Cypriniformes; Tincidae; Tinca; Tinca tinca"
"OTU_122",3,0,9,0,0,0,5,2,8,7,0,0,6,0,0,8,6,0,13,0,4,10,6,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,"Metazoa; Chordata; Actinopteri; Cypriniformes; Cyprinidae; Cirrhinus; Cirrhinus molitorella"
"OTU_123",7,33,11,2,10,6,9,13,14,5,10,10,5,8,3,4,1,6,1,10,1,9,2,5,1,8,9,9,14,4,14,7,2,3,2,2,8,13,"Animalia; Arthropoda; Crustacea; Thoracica; Balanidae; Amphibalanus; Amphibalanus Amphitrite"
"OTU_124",0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,31,61,18,27,0,8,"Animalia; Mollusca; Lamellibranchia; Pterioida; Ostreidae; Crassostrea; Crassostrea gigas"
"OTU_125",6,0,0,6,10,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,2,0,0,0,"Metazoa; Chordata; Actinopteri; Siluriformes; Clariidae; Clarias; Clarias gariepinus"
"OTU_126",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,4,0,0,0,"Metazoa; Chordata; Mammalia; Rodentia; Muridae; Bandicota; Bandicota indica"
"OTU_127",0,12,3,0,1,23,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,2,0,0,0,"Unknown"
"OTU_128",0,0,0,0,0,0,0,5,0,0,0,2,1,0,0,0,6,0,12,3,0,0,0,0,0,18,0,3,0,0,0,0,0,0,3,0,0,0,"Metazoa; Chordata; Actinopteri; Gobiiformes; Gobiidae; Glossogobius; Glossogobius giuris"
"OTU_129",4,3,0,0,1,1,3,0,3,0,0,6,0,1,1,0,1,0,0,5,0,1,1,0,0,0,0,4,4,1,2,0,0,0,0,0,0,0,"Unknown"
"OTU_13",0,0,1,2,1,0,2,1,1,0,0,1,2,0,0,0,2,0,1,0,1,2,0,3,1,1,3,1,1,1,1,0,6,243,27,2886,2591,39,"Animalia; Chordata; Osteichthyes; Cypriniformes; Catostomidae; Ictiobus; Ictiobus cyprinellus"
"OTU_130",0,6,4,2,0,0,2,0,6,36,0,6,0,0,0,2,2,2,2,0,4,4,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,"Metazoa; Chordata; Actinopteri; NA; NA; NA; NA"
"OTU_131",2,4,13,7,0,8,3,1,11,0,1,0,13,0,3,3,1,2,1,3,11,3,16,1,0,6,0,5,0,0,3,1,0,0,0,0,0,0,"Unknown"
"OTU_132",2,3,3,0,4,4,3,0,2,0,0,2,3,1,0,0,0,1,1,2,2,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,"Unknown"
"OTU_133",0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Unknown"
"OTU_134",4,5,5,1,3,6,7,14,7,0,1,1,1,0,0,0,2,11,1,3,5,2,1,0,0,2,0,1,2,3,5,0,0,0,1,0,0,0,"Unknown"
"OTU_135",1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,2,0,0,52,27,72,31,0,31,"Metazoa; Chordata; Actinopteri; Cichliformes; Cichlidae; Coptodon; Coptodon zillii"
"OTU_136",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,49,0,0,0,0,"Metazoa; Chordata; Actinopteri; Cypriniformes; Gobionidae; Pseudorasbora; Pseudorasbora interrupta"
