FID,site,longitude,latitude,Oreochromis_niloticus,Coptodon_zillii,Oreochromis_aureus,Pterygoplichthys_pardalis,Clarias_gariepinus,Gambusia_affinis,Channa_striata,Cirrhinus_mrigala,Prochilodus_lineatus,Micropterus_salmoides,Anguilla_rostrata
1,L1,113.175556,23.235278,131,376,6,3,45,9,28,82,26,49,3
2,L2,113.253889,23.265556,1302,1470,83,56,30,24,60,66,22,23,11
3,L3,113.234167,23.208889,1562,1372,19,48,38,28,30,76,46,63,8
4,L4,113.224722,23.144167,265,405,0,6,15,3,13,58,14,29,0
5,L5,113.218333,23.099722,545,301,7,4,31,6,24,56,30,32,3
6,L6,113.214167,23.072778,154,213,8,8,22,5,18,74,23,31,3
10,L10,113.246389,23.0825,296,684,16,28,52,9,40,154,39,100,1
11,L11,113.253333,23.047778,298,253,14,6,19,13,10,63,36,29,6
13,L13,113.402222,23.141667,2871,752,111,3,42,5,48,39,24,58,4
14,L14,113.391389,23.118056,906,376,27,3,50,18,26,49,31,54,8
15,L15,113.395833,23.109167,245,390,4,2,25,6,43,127,29,66,9
16,L16,113.405833,23.087778,193,403,4,0,28,25,23,104,44,62,1
17,L17,113.4025,23.064444,549,393,13,3,13,4,24,68,35,62,1
18,L18,113.416389,23.055556,104,237,5,0,29,7,12,74,48,64,6
23,L23,113.308611,22.926111,66,276,7,3,15,4,5,72,5,10,0
24,L24,113.408056,22.924722,293,426,3,12,27,7,13,73,4,27,0
25,L25,113.489167,22.907222,104,252,16,4,25,2,4,95,13,25,3
26,L26,113.549722,22.872222,154,272,15,2,21,0,30,44,18,32,5
27,L27,113.523611,22.838333,85,310,7,3,22,0,13,31,12,18,3
28,L28,113.451667,22.870833,351,414,13,5,25,10,16,55,5,17,2
29,L29,113.423889,22.837222,179,183,9,9,14,0,15,35,2,6,0
30,L30,113.409444,22.831667,395,368,19,4,33,7,16,80,8,8,4
31,L31,113.581111,22.741389,321,373,13,20,39,9,24,174,15,37,5
32,L32,113.428333,22.743611,128,284,7,2,19,6,9,49,3,18,1
33,L33,113.477222,22.764444,212,255,9,4,3,0,9,42,5,9,3
34,L34,113.5025,22.723056,1495,441,4,2,7,4,3,66,14,8,1
35,L35,113.558333,22.695556,104,414,13,8,5,1,9,75,5,7,0
36,L36,113.610556,22.638889,290,406,6,2,10,1,53,150,6,6,0
37,L37,113.638056,22.583611,159,256,10,10,13,4,24,137,10,9,0
38,L38,113.614722,22.705833,350,1209,16,2,47,4,59,58,52,65,9
39,L39,113.641111,22.676667,172,321,11,5,34,9,27,95,16,21,5
40,L40,113.693889,22.590278,304,539,21,5,28,16,43,107,23,54,2
