FID,site,longitude,latitude,Amphibalanus_amphitrite,Tinca_tinca,Coptodon_zillii,Oreochromis_niloticus,Limnoperna_fortunei,Polyodon_spathula,Oncorhynchus_kisutch,Sciaenops_ocellatus,Cirrhinus_mrigala,Crassostrea_gigas,other
1,L1,113.175556,23.235278,1557,700,376,131,1,74,125,100,82,129,374
2,L10,113.246389,23.0825,4025,1105,684,296,115,116,228,187,154,245,681
3,L11,113.253333,23.047778,1810,491,253,298,81,78,66,113,63,69,291
5,L13,113.402222,23.141667,1168,1072,752,2871,2,585,53,71,39,66,523
6,L14,113.391389,23.118056,1350,744,376,906,0,264,56,46,49,80,365
7,L15,113.395833,23.109167,1314,906,390,245,158,104,103,45,127,153,377
8,L16,113.405833,23.087778,1335,634,403,193,258,57,50,66,104,226,366
9,L17,113.4025,23.064444,2604,420,393,549,35,82,101,77,68,104,325
10,L18,113.416389,23.055556,1843,293,237,104,9,52,92,43,74,70,350
12,L2,113.253889,23.265556,1292,356,1470,1302,10,891,91,114,66,97,1016
16,L23,113.308611,22.926111,1702,333,276,66,523,13,109,34,72,117,184
17,L24,113.408056,22.924722,1675,227,426,293,596,39,102,79,73,122,287
18,L25,113.489167,22.907222,1520,327,252,104,747,34,108,65,95,84,251
19,L26,113.549722,22.872222,1580,404,272,154,112,30,53,48,44,61,283
20,L27,113.523611,22.838333,1277,610,310,85,11,16,46,40,31,14,178
21,L28,113.451667,22.870833,1208,478,414,351,137,69,52,49,55,39,227
22,L29,113.423889,22.837222,591,128,183,179,172,2,30,15,35,25,149
23,L3,113.234167,23.208889,2200,708,1372,1562,2,345,85,183,76,96,595
24,L30,113.409444,22.831667,1386,295,368,395,294,23,104,61,80,46,299
25,L31,113.581111,22.741389,850,377,373,321,730,56,101,157,174,63,487
26,L32,113.428333,22.743611,1109,158,284,128,37,15,80,45,49,29,173
27,L33,113.477222,22.764444,1342,207,255,212,42,18,44,37,42,14,171
28,L34,113.5025,22.723056,849,127,441,1495,10,110,57,63,66,23,164
29,L35,113.558333,22.695556,1102,109,414,104,13,2,130,75,75,42,253
30,L36,113.610556,22.638889,695,251,406,290,39,22,148,125,150,35,294
31,L37,113.638056,22.583611,1143,186,256,159,17,5,157,99,137,39,334
32,L38,113.614722,22.705833,2469,2892,1209,350,3,98,308,135,58,41,642
33,L39,113.641111,22.676667,1030,390,321,172,455,23,105,102,95,55,350
34,L4,113.224722,23.144167,1180,316,405,265,15,27,97,69,58,90,221
35,L40,113.693889,22.590278,1665,477,539,304,5,32,313,144,107,69,578
36,L5,113.218333,23.099722,1536,677,301,545,5,112,75,73,56,72,280
37,L6,113.214167,23.072778,1603,600,213,154,91,40,77,99,74,79,262
